"chem_code","chemalpha_cd","chemname","casnum"
2300,19560,"BIFENTHRIN","82657-04-3"
105,27600,"CARBARYL","63-25-2"
5964,30350,"CHLORANTRANILIPROLE","500008-45-7"
4020,66375,"EMAMECTIN BENZOATE","137515-74-4"
2321,67985,"ESFENVALERATE","66230-04-4"
2234,71370,"FENPROPATHRIN","39515-41-8"
5314,78080,"(Z,Z)-11,13-HEXADECADIENAL","71317-73-2"
2297,84550,"LAMBDA-CYHALOTHRIN","91465-08-6"
5698,92912,"METHOXYFENOZIDE","161050-58-4"
2008,112300,"PERMETHRIN","52645-53-1"
335,115000,"PHOSMET","732-11-6"
5946,141612,"SPINETORAM","187166-15-0"
5946,141612,"SPINETORAM","187166-40-1"
3983,141615,"SPINOSAD","131929-60-7"
3858,16060,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, SEROTYPE 3A,3B","68038-71-1"
6323,16067,"BACILLUS THURINGIENSIS SSP KURSTAKI, STRAIN EVB 113 19",NA
5048,16068,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, DELTA-ENDOTOXIN  AS PRODUCED IN CORN BY AN HD-1 GENE, AND ITS CONTROLLING SEQUENCES AND FOUND ON PLASMID VECTOR, PZO1502",NA
3978,16069,"BACILLUS THURINGIENSIS VAR. KURSTAKI STRAIN M-200",NA
3965,16070,"BACILLUS THURINGIENSIS, VAR. KURSTAKI DELTA ENDOTOXINS CRY 1A(C) AND CRY 1C (GENETICALLY ENGINEERED) ENCAPSULATED IN PSEUDOMONAS FLUORESCENS (KILLED)",NA
5049,16071,"BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 LEPIDOPTERAN ACTIVE TOXIN",NA
3990,16072,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN ABG-6413 (ABTS-2198) BY ABBOTT",NA
5004,16073,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO1 BY AGREVO",NA
5005,16074,"BACILLUS THURINGIENSIS SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN AGRO2 BY AGREVO",NA
3989,16075,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3159::G27 BY SANDOZ",NA
4041,16077,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, GENETICALLY ENGINEERED STRAIN S3158::CRY A BY SANDOZ",NA
3955,16080,"BACILLUS THURINGIENSIS VAR. KURSTAKI/AIZAWAI",NA
3962,16100,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN ECX 9441",NA
5325,16103,"BACILLUS THURINGIENSIS VAR. KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7826",NA
3963,16105,"BACILLUS THURINGIENSIS, VAR. KURSTAKI, GENETICALLY ENGINEERED, STRAIN EG7618",NA
3554,16110,"BACILLUS THURINGIENSIS VAR. KURSTAKI PROTEIN IN COTTONSEED",NA
3859,16120,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG 2348","68038-71-1"
3860,16130,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN EG2371",NA
3861,16140,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN 2424",NA
5051,16141,"BACILLUS THURINGIENSIS SUB. KURSTAKI STRAIN EG7673 COLEOPTERAN ACTIVE TOXIN",NA
4024,16142,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN BMP 123",NA
5829,16143,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN ABTS-351, FERMENTATION SOLIDS AND SOLUBLES",NA
4023,16144,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1",NA
3986,16145,"BACILLUS THURINGIENSIS, SUBSP. KURSTAKI, STRAIN HD-1,DELTA-ENDOTOXIN AS PRODUCED IN CORN BY A CRY IA(B) GENE AND ITS CONTROLLING SEQUENCES BY MONSANTO",NA
3988,16146,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI, GENETICALLY ENGINEERED STRAIN EG7841 LEPIDOPTERAN ACTIVE TOXIN",NA
5010,16148,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI STRAIN HD-1, LEPIDOPTERAN ACTIVE TOXIN",NA
3862,16150,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI, STRAIN SA-11",NA
3970,16157,"BACILLUS THURINGIENSIS (BERLINER), SUBSP. KURSTAKI STRAIN SA-12",NA
2337,66680,"ENCAPSULATED DELTA ENDOTOXIN OF BACILLUS THURINGIENSIS VAR. KURSTAKI IN KILLED PSEUDOMONAS FLUORESCENS",NA
6454,NA,"BACILLUS THURINGIENSIS SPP. KURSTAKI, STRAIN EVB-113-19","68038-71-1"
6205,NA,"BACILLUS THURINGIENSIS SUBSPECIES KURSTAKI, STRAIN VBTS-2546",NA
