use_no, field_name, old_value, new_value, error_id
2071676, LBS_PRD_USED, 11.5942, 11.5942, 167784
2071676, AMT_PRD_USED, 5.37, 1.3438, 167784
2071792, LBS_PRD_USED, .7, .7, 167785
2071792, AMT_PRD_USED, 9606, 317.5132, 167785
2071900, LBS_PRD_USED, 10.7853, 10.7853, 167786
2071900, AMT_PRD_USED, 5, 1.25, 167786
995648, ACRE_TREATED, .77, 10, 58841
1378888, LBS_PRD_USED, 8.2074, 8.2074, 102597
1378888, AMT_PRD_USED, 4550, .8598, 102597
1411755, LBS_PRD_USED, 126, 126, 106874
1411755, AMT_PRD_USED, 1524, 126, 106874
2849494, ACRE_TREATED, .01, .18, 213796
2849516, LBS_PRD_USED, .0063, .0063, 213797
2849516, AMT_PRD_USED, 12, .1053, 213797
2846706, ACRE_TREATED, .01, .18, 213679
2846708, ACRE_TREATED, .02, .36, 213680
2846724, ACRE_TREATED, .01, .18, 213682
2846760, AMT_PRD_USED, 671.3, 167.7963, 213684
2846760, LBS_PRD_USED, 11.9791, 11.9791, 213684
2846768, ACRE_TREATED, .01, .18, 213686
2846769, ACRE_TREATED, .01, .31, 213687
2846785, ACRE_TREATED, .01, .2, 213689
987591, LBS_PRD_USED, 1.706, 1.706, 58316
987591, AMT_PRD_USED, 1.5, .1875, 58316
987594, LBS_PRD_USED, 3.9096, 3.9096, 58317
987594, AMT_PRD_USED, 3.43, .4297, 58317
1187365, UNIT_TREATED, S, A, 69731
2208702, LBS_PRD_USED, 2.8433, 2.8433, 173557
2208702, AMT_PRD_USED, 1.25, .3125, 173557
2208932, LBS_PRD_USED, 2.8433, 2.8433, 173559
2208932, AMT_PRD_USED, 1.25, .3125, 173559
2846887, ACRE_TREATED, .01, .18, 213693
3033946, LBS_PRD_USED, .0067, .0067, 221238
3033946, AMT_PRD_USED, 25, .089, 221238
3034048, LBS_PRD_USED, .1941, .1941, 221241
3034048, AMT_PRD_USED, 30, 2.7516, 221241
3034196, ACRE_TREATED, .25, 2.73, 221243
2778147, LBS_PRD_USED, .2358, .2358, 212650
2778147, AMT_PRD_USED, 1.94, .2358, 212650
2778225, LBS_PRD_USED, .1769, .1769, 212651
2778225, AMT_PRD_USED, 1.45, .1769, 212651
2779518, LBS_PRD_USED, .2736, .2736, 212653
2779518, AMT_PRD_USED, 2.25, .2736, 212653
2782598, LBS_PRD_USED, 3.1861, 3.1861, 212660
2782598, AMT_PRD_USED, 58.59, 3.1861, 212660
2782931, LBS_PRD_USED, .2358, .2358, 212661
2782931, AMT_PRD_USED, 1.94, .2358, 212661
2783107, LBS_PRD_USED, .9197, .9197, 212662
2783107, AMT_PRD_USED, 7.56, .9197, 212662
2784823, LBS_PRD_USED, .1415, .1415, 212667
2784823, AMT_PRD_USED, 1.16, .1415, 212667
2784829, LBS_PRD_USED, .0472, .0472, 212668
2784829, AMT_PRD_USED, .39, .0472, 212668
2785231, LBS_PRD_USED, .5141, .5141, 212669
2785231, AMT_PRD_USED, 4.22, .5141, 212669
2785316, LBS_PRD_USED, .0472, .0472, 212670
2785316, AMT_PRD_USED, .39, .0472, 212670
2633136, LBS_PRD_USED, 37.5781, 37.5781, 200821
2633136, AMT_PRD_USED, 662.5, 4.1762, 200821
2633706, LBS_PRD_USED, 38.7511, 38.7511, 200822
2633706, AMT_PRD_USED, 6144, 631.4483, 200822
2325508, LBS_PRD_USED, 6.0634, 6.0634, 179862
2325508, AMT_PRD_USED, 42.64, 5.3316, 179862
2325512, LBS_PRD_USED, 5.8871, 5.8871, 179863
2325512, AMT_PRD_USED, 41.41, 5.1766, 179863
2325588, LBS_PRD_USED, 52.6013, 52.6013, 179866
2325588, AMT_PRD_USED, 2960, 740.0468, 179866
2628284, LBS_PRD_USED, 3.5929, 3.5929, 200775
2628284, AMT_PRD_USED, .98, .3555, 200775
2628295, LBS_PRD_USED, 8.015, 8.015, 200776
2628295, AMT_PRD_USED, 1.81, .793, 200776
2628299, LBS_PRD_USED, 7.4623, 7.4623, 200777
2628299, AMT_PRD_USED, 1.69, .7383, 200777
2076785, LBS_PRD_USED, 38.3388, 38.3388, 167936
2076785, AMT_PRD_USED, 2560, 5, 167936
2082620, ACRE_TREATED, .21, 21.01, 168034
2082621, LBS_PRD_USED, .7504, .7504, 168035
2082621, AMT_PRD_USED, 10.5, .0782, 168035
2325730, LBS_PRD_USED, 13.2214, 13.2214, 179870
2325730, AMT_PRD_USED, 744, 186.0117, 179870
2325767, LBS_PRD_USED, 2.4471, 2.4471, 179871
2325767, AMT_PRD_USED, 45, 2.4471, 179871
2325340, ACRE_TREATED, .01, 13.36, 179858
705142, ACRE_PLANTED, 15, 30, 47908
705143, ACRE_PLANTED, 15, 30, 47909
705144, ACRE_PLANTED, 15, 30, 47910
1340957, ACRE_TREATED, .01, .21, 101852
2630274, LBS_PRD_USED, 5.5276, 5.5276, 200783
2630274, AMT_PRD_USED, 4.57, 2.1875, 200783
2630275, LBS_PRD_USED, 7.1859, 7.1859, 200784
2630275, AMT_PRD_USED, 2.97, 2.8438, 200784
2630284, LBS_PRD_USED, 33.0425, 33.0425, 200785
2630284, AMT_PRD_USED, 749.92, 3.6729, 200785
2630298, LBS_PRD_USED, 7.7386, 7.7386, 200786
2630298, AMT_PRD_USED, 134.4, 97.9999, 200786
2630392, LBS_PRD_USED, 20.7285, 20.7285, 200787
2630392, AMT_PRD_USED, 27.27, 8.2031, 200787
