use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
4220707,2251,2081,23.3,4.4980184,19.3048,18,PT,9,A,9,A,1,06/12/2018,0800,08,H,18,N,01,W,26,"18-5","08170800009","",,G,152,31,802,165,27,B,08H18N01W26,
4219993,14682,6103,27.15,3.8762598,14.2772,5.9,QT,7,A,5.9,A,1,03/28/2018,0913,08,H,18,N,01,W,26,"M5","08170800011","",,G,152,31,802,45,26,B,08H18N01W26,
4219998,14682,6103,27.15,1.72459515,6.3521,2.625,QT,11,A,2.1,A,1,06/28/2018,1200,08,H,18,N,01,W,23,"S9","08170800011","",,G,152,31,802,617,110,B,08H18N01W23,
4219871,14682,6103,27.15,9.8943288,36.4432,15.06,QT,17,A,7.53,A,1,04/21/2018,0800,08,H,18,N,01,W,21,"41","08170800010","",,G,152,31,802,1197,5,B,08H18N01W21,
4219979,14682,6103,27.15,4.33615365,15.9711,6.6,QT,8,A,7,A,1,03/12/2018,1330,08,H,18,N,01,W,26,"M4","08170800011","",,G,152,31,802,31,33,B,08H18N01W26,
4219965,14682,6103,27.15,4.19160705,15.4387,6.38,QT,10,A,8.3,A,1,03/07/2018,0900,08,H,18,N,01,W,22,"H6","08170800011","",,G,152,31,802,17,71,B,08H18N01W22,
4220793,14682,6103,27.15,6.9312864,25.5296,10.55,QT,7,A,6.03,A,1,05/21/2018,0800,08,H,17,N,01,W,02,"3A","08170800010","",,G,152,31,802,1374,8,B,08H17N01W02,
4220555,14682,6103,27.15,5.9129442,21.7788,9,QT,9,A,9,A,1,06/06/2018,0800,08,H,18,N,01,W,26,"18-5","08170800009","",,G,152,31,802,159,14,B,08H18N01W26,
4220333,14682,6103,27.15,3.28495995,12.0993,5,QT,15,A,5,A,1,05/23/2018,1030,08,H,18,N,01,W,35,"17-1","08170800009","",,G,152,31,802,89,53,B,08H18N01W35,
4221097,14682,6103,27.15,12.8113791,47.1874,19.5,QT,17,A,15.6,A,1,05/12/2018,0945,08,H,18,N,01,W,26,"M3","08170800011","",,G,152,31,802,255,98,B,08H18N01W26,
4309300,14682,6103,27.15,3.9419628,14.5192,6,QT,6,A,6,A,1,07/28/2018,0800,08,H,18,N,01,W,35,"18-4","08190800009","",,G,152,31,801,43,43,B,08H18N01W35,
4309303,14682,6103,27.15,3.28495995,12.0993,5,QT,5,A,5,A,1,07/28/2018,1000,08,H,18,N,01,W,35,"17-1","08190800009","",,G,152,31,801,46,46,B,08H18N01W35,
4220710,14682,6103,27.15,9.19790415,33.8781,14,QT,14,A,14,A,1,06/12/2018,1230,08,H,18,N,01,W,35,"18-3","08170800009","",,G,152,31,802,168,30,B,08H18N01W35,
4219645,14682,6103,27.15,12.8113791,47.1874,19.5,QT,17,A,15.6,A,1,06/14/2018,1400,08,H,18,N,01,W,26,"M3","08170800011","",,G,152,31,802,559,52,B,08H18N01W26,
4220181,14682,6103,27.15,3.28495995,12.0993,5,QT,15,A,5,A,1,05/17/2018,0800,08,H,18,N,01,W,35,"17-1","08170800009","",,G,152,31,802,87,37,B,08H18N01W35,
4309294,14682,6103,27.15,6.56994705,24.1987,10,QT,10,A,10,A,1,07/16/2018,1230,08,H,17,N,01,W,01,"18-6","08190800009","",,G,152,31,801,37,37,B,08H17N01W01,
4220429,14682,6103,27.15,10.5118827,38.7178,16,QT,15,A,8,A,1,04/20/2018,0800,08,H,18,N,01,W,27,"11","08170800010","",,G,152,31,802,1309,7,B,08H18N01W27,
4220361,14682,6103,27.15,3.9419628,14.5192,6,QT,6,A,6,A,1,05/10/2018,1300,08,H,18,N,01,W,35,"18-4","08170800009","",,G,152,31,802,117,25,B,08H18N01W35,
4220367,14682,6103,27.15,3.9419628,14.5192,6,QT,6,A,6,A,1,05/29/2018,1000,08,H,18,N,01,W,35,"18-4","08170800009","",,G,152,31,802,123,55,B,08H18N01W35,
1037667,14682,6103,27.15,7.22692275,26.6185,11,QT,11,A,11,A,1,04/20/2018,0930,08,H,18,N,01,W,35,"18-1","08170800009","",,G,152,31,801,1269,17,B,08H18N01W35,
1037676,14682,6103,27.15,5.9129442,21.7788,9,QT,9,A,9,A,1,04/13/2018,1100,08,H,18,N,01,W,26,"18-5","08170800009","",,G,152,31,801,1278,11,B,08H18N01W26,
1037781,14682,6103,27.15,4.1883219,15.4266,6.375,QT,6,A,5.1,A,1,04/30/2018,1300,08,H,18,N,01,W,27,"S2B","08170800011","",,G,152,31,801,1355,59,B,08H18N01W27,
1037794,14682,6103,27.15,7.22692275,26.6185,11,QT,11,A,11,A,1,03/26/2018,1330,08,H,18,N,01,W,35,"18-1","08170800009","",,G,152,31,801,543,11,B,08H18N01W35,
4218197,36951,2300,.2,.0005,.25,4,OZ,,,,,,09/01/2018,,08,,,,,,,"","","PR3198",,,10,0,803,266,15,C,,
4218436,37070,90486,.1,.0003221,.3221,6,OZ,,,,,1,06/01/2018,,08,,,,,,,"","","PR3198",,,10,0,803,112,8,C,,
4218482,37070,510,.5,.0002685,.0537,1,OZ,,,,,1,07/01/2018,,08,,,,,,,"","","PR3198",,,10,0,803,158,12,C,,
4218482,37070,90486,.1,.0000537,.0537,1,OZ,,,,,1,07/01/2018,,08,,,,,,,"","","PR3198",,,10,0,803,158,12,C,,
